id;nombre;apellidos;pasaporte;cantidad_equipaje;numero_asiento
1;Cabo;software moderador;en Accoun;8;267
2;Bebes Queso;Marca Morado services;Guapo Bla;5;807
3;granular cross-;withdrawal;Interacci;2;276
4;Cataluña Negro;portals Creativo;Gris glob;2;631
5;open-source Mad;Gorro;SabrosoXX;5;566
6;Ergonómico Meta;fuerza Peso;1080pXXXX;6;244
7;invoice Corpora;Dollar Refinado;connectin;2;838
8;hacking algorit;Account Seguro local;Mobilidad;7;264
9;plug-and-play;deposit Money;sensorXXX;1;589
10;Queso Madera;Tácticas Consultor Rústico;Ejecutivo;0;213
